Ctsa	8.097408748	8.79E-86
Gm10602	6.460897156	4.69E-49
Fdft1	6.060275959	3.04E-48
AC160411.1	5.65540501	5.07E-48
mt-Nd1	-4.486341409	5.70E-47
BE692007	5.202819077	1.95E-46
mt-Nd4	-3.910458343	4.82E-45
Gm45752	7.613546842	5.93E-42
Gdf11	-7.741660586	7.16E-42
Gm26669	4.583113141	6.16E-38
Ccdc24	-7.507507853	1.64E-32
1700071M16Rik	5.54097971	1.64E-32
Nt5dc2	4.248704119	5.34E-32
Grtp1	3.431230896	1.85E-31
Gm15655	5.906182124	4.81E-30
Tsix	8.400438343	9.62E-30
Gm10252	3.739312824	7.22E-29
Gm20417	3.102135202	7.28E-27
Krr1	3.922499686	1.49E-26
Gfm2	3.307611706	2.18E-26
Hdgfl3	3.662706343	7.68E-26
Gm20528	6.743574214	1.05E-25
Gm2245	3.473825056	1.70E-23
B430305J03Rik	4.502528283	8.13E-23
Ddb2	5.303786176	1.35E-22
CT010467.1	-3.068516893	1.68E-22
Gm26778	3.321944411	3.87E-22
mt-Cytb	-3.023232356	5.25E-22
Zmynd15	8.021157203	3.59E-21
Ndufa2	-5.566920176	8.16E-21
Gm26716	3.084913733	2.55E-20
Dnah14	-2.83891479	4.22E-20
Tstd2	-5.392613035	5.46E-20
Rb1	3.429552188	2.60E-19
4930558J22Rik	-5.943325428	2.81E-19
Wdhd1	-4.927605438	5.46E-19
Gm14453	-4.359257707	6.13E-19
4731419I09Rik	4.224533273	1.54E-18
Gm15512	5.649619202	6.89E-18
Gm45890	-3.579698758	8.92E-18
Nav2	-5.225514581	1.03E-17
Bysl	-2.859101893	1.07E-17
4930473A02Rik	3.832324377	2.45E-16
Kri1	-3.3528797	3.11E-16
Gm20721	2.585642125	3.61E-16
Wdr61	-5.864859169	5.27E-16
Gm26759	2.764777867	1.12E-15
Focad	4.250967095	1.23E-15
AC130831.1	3.312276784	1.38E-15
Apex2	-9.901354238	1.49E-15
Gm28872	-6.357071214	1.77E-15
mt-Nd5	-2.259420508	2.33E-15
Adap2os	3.447639678	6.42E-15
Trip12	-4.688437434	8.46E-15
Amz1	4.46271616	1.51E-14
Prune2	4.874022971	2.10E-14
Gm26642	3.706630115	2.34E-14
Cd72	3.461877597	5.28E-14
Clvs1	4.133613972	5.98E-14
Stk16	-3.576273693	8.77E-14
Cdip1	3.10813413	1.03E-13
Cops6	-4.235361909	1.07E-13
Gm44777	4.516244228	1.12E-13
mt-Nd2	-2.39464361	1.79E-13
Gm29331	-7.364830407	3.73E-13
Gm15396	3.61390136	3.88E-13
3110062M04Rik	2.997052084	5.82E-13
1810014B01Rik	2.650440026	1.66E-12
Nptn	-4.659547764	1.87E-12
Vcam1	-5.380206547	2.27E-12
Tram1	-4.273285715	3.24E-12
Gm19719	2.350901011	4.73E-12
AC122317.1	6.985363007	4.96E-12
4930404N11Rik	2.882576454	6.72E-12
Gm15648	3.078689702	6.90E-12
Gm15441	2.800170567	8.04E-12
Ppib	-5.325395183	1.56E-11
Tmem202	5.860924406	1.79E-11
Gm17509	4.051025375	1.84E-11
Daglb	2.440630833	2.70E-11
Noc2l	-8.014704167	2.87E-11
Gm11505	-5.462088859	3.63E-11
Gm20628	-3.714208606	3.84E-11
Myhas	-5.723648357	6.43E-11
Cdk4	2.555702364	7.74E-11
Cdan1	3.467720156	8.69E-11
Tmem189	4.479095351	8.79E-11
mt-Co1	-2.306314876	9.58E-11
Cyfip1	2.795777806	9.95E-11
Gm16185	4.454178324	1.02E-10
Gm45515	2.810686205	1.07E-10
Cbarp	-2.294839549	1.18E-10
Gm44154	5.037892377	1.24E-10
Gmppb	-2.805167806	1.61E-10
Kmt2d	-3.825212337	1.96E-10
A930037H05Rik	2.778457165	2.07E-10
Gm26582	2.41113956	2.22E-10
Erap1	3.226665259	2.65E-10
Lyz2	6.539386798	2.83E-10
Csgalnact1	-6.131148863	2.89E-10
Serinc3	-2.83462127	3.25E-10
Dcaf8	3.430001806	3.78E-10
Gpnmb	4.871457265	4.69E-10
Snhg14	3.096991573	5.71E-10
Suv39h2	6.444781489	5.89E-10
Basp1	4.747661702	9.20E-10
Itm2b	4.223251489	1.07E-09
Rac1	2.403665929	1.33E-09
Shc4	2.971318797	1.47E-09
Gm15701	5.797085304	1.49E-09
4930470G03Rik	3.622104091	1.56E-09
0610009E02Rik	3.088229306	1.58E-09
Fuk	-4.522950436	1.85E-09
Adamtsl3	-6.017857835	2.31E-09
Gm43909	4.873970308	2.49E-09
Lrrc71	3.222692719	2.77E-09
Gm26811	3.344151643	2.83E-09
Trp53bp1	2.227312499	2.90E-09
Tox	-6.486793113	3.27E-09
Syn3	-3.0720802	3.73E-09
Ubxn6	-2.350461201	4.13E-09
Gadd45gip1	-2.317948852	4.13E-09
Pde6h	1.893542499	4.64E-09
Ccdc38	-2.875538766	4.81E-09
Rad54l	2.702276627	5.58E-09
Gm16712	2.645373417	9.15E-09
Capn15	-5.184285866	1.05E-08
Rmdn1	9.607876515	1.08E-08
Gm40645	9.553475953	1.25E-08
Gm20659	2.367369742	1.60E-08
Card14	3.51812572	1.60E-08
Skiv2l2	-4.137346948	1.67E-08
Mapk12	6.1196833	2.18E-08
Ankmy1	-3.926089244	2.43E-08
B4galt3	-3.323665545	2.43E-08
Dmtf1	3.23182569	2.75E-08
